Time,x,y,z
385.0,-344.0761451380769,-265.30456888112747,-257.25687500463397
386.0,-344.9771377850619,-267.327281328198,-259.28094185297294
387.0,-345.97977583694984,-269.34885412006616,-261.2577980399741
388.0,-347.07668711649575,-271.33344875033197,-263.2220204811261
389.0,-348.16645488741386,-273.3464121736206,-265.1611915571197
390.0,-349.2039686402271,-275.36693011378344,-267.1210569775513
391.0,-350.1547263740967,-277.41797370362775,-269.09318271493356
392.0,-351.0844807032292,-279.4431275597795,-271.10174158795
393.0,-352.07663886990133,-281.45945919719315,-273.089209550024
394.0,-353.054572723596,-283.46452073423376,-275.095044441155
395.0,-354.071030027218,-285.4741488810857,-277.07701549576046
396.0,-355.0491173328429,-287.4795250412084,-279.08246100212233
397.0,-356.0250213888266,-289.5118406523916,-281.0616791634314
398.0,-357.02481621056194,-291.51624268084026,-283.0573702273945
399.0,-358.00226858086563,-293.5355011390786,-285.0491488653512
400.0,-358.98930246753156,-295.5247396850841,-287.0662492876552
401.0,-359.9718958062149,-297.5286913660843,-289.0709158412226
402.0,-360.9416580228568,-299.5205266640102,-291.09382300397374
403.0,-361.9488988628401,-301.51885587167357,-293.0918586062765
404.0,-362.49588382101405,-303.60978460011324,-295.1724413390985
405.0,-362.47540123516836,-305.8239963915036,-297.1965081874375
406.0,-362.7179388368087,-307.9395891432674,-299.30966762781935
407.0,-362.186439616406,-310.05870667739293,-301.3655979416367
408.0,-361.7940126125851,-312.1884979571696,-303.4416495188523
409.0,-361.7007584289168,-314.3073969309136,-305.5633400703453
410.0,-361.62836193144466,-316.4558139066625,-307.65596121270903
411.0,-361.88531700860347,-318.563751016586,-309.77505895206167
412.0,-361.65714474035383,-320.7023451319473,-311.8665542606254
413.0,-362.06741301012937,-322.78964304010134,-313.9819424967256
414.0,-364.65817504731973,-323.25906311073237,-315.4198565636789
415.0,-364.9521361762797,-325.4134203431815,-317.48681852986374
416.0,-365.25306041100936,-327.52782422358626,-319.59365047273
417.0,-365.620248513661,-329.64920139241923,-321.68289239381653
418.0,-365.9680921189472,-331.77568281832055,-323.77025474174707
419.0,-366.3076698574792,-333.89573747827166,-325.86550059804006
420.0,-366.67974837856275,-336.0409123378257,-327.9294246267014
421.0,-367.1077620410889,-338.169374781113,-329.9997994556168
422.0,-367.4856961912824,-340.2910849879357,-332.0867856981163
423.0,-367.8828019899811,-342.40483860624033,-334.17828100668
424.0,-368.4696912434172,-344.48718201466215,-336.2565993012642
425.0,-368.7994399880293,-346.7121740995217,-338.2417128969406
426.0,-369.3101684278669,-348.782127909689,-340.3522691469645
427.0,-369.91591346798776,-350.8495952884451,-342.4400075367414
428.0,-370.56665247629184,-352.86552494713595,-344.56428773348614
429.0,-371.1536096472039,-354.96211715436874,-346.6282117621475
430.0,-371.745585268375,-357.0430203069291,-348.7065300567317
431.0,-372.40595338977977,-359.08755936168427,-350.80027645919154
432.0,-373.08186446253563,-361.13852770847103,-352.88274448108405
433.0,-373.7742188867326,-363.19700564618057,-354.9523613372335
434.0,-374.43737819681274,-365.2563290292,-357.03067963181775
435.0,-375.0845471156922,-367.3392698119268,-359.09041992760507
436.0,-375.76118097022504,-369.4143382879776,-361.14863698287405
437.0,-376.27279595288195,-371.524266764802,-363.21901181178947
438.0,-376.8348039186111,-373.62170904716174,-365.28900768584975
439.0,-377.4740797348969,-375.6984178140282,-367.3574871100482
440.0,-378.05826021817654,-377.79354046126383,-369.42368996940047
441.0,-378.66372636809444,-379.89122714482636,-371.4811450281826
442.0,-379.36808692921994,-381.93452146817134,-373.5617277610046
443.0,-379.9757166145287,-384.01920447690554,-375.6317236350649
444.0,-380.59694880587324,-386.1017587539212,-377.6998237892453
445.0,-381.22695743258384,-388.1714645776234,-379.7781420838295
446.0,-381.7938171828861,-390.2679750336501,-381.847758939979
447.0,-382.3388856498513,-392.35902888000004,-383.9287188574174
448.0,-382.9290122016977,-394.43894845095997,-386.00854703088356
449.0,-383.5338344252229,-396.50326616594384,-388.0996669340775
450.0,-384.1228366756238,-398.5861434806684,-390.17685215471346
451.0,-384.6587917177054,-400.6720390993562,-392.2653424373833
452.0,-385.1657046922047,-402.79163048601464,-394.3269853720079
